Gene stable ID,Gene name,Human gene stable ID,Human gene name
ENSCAFG00845005812,ENSCAFG00845005812,ENSG00000273899,NOL12
ENSCAFG00845005812,ENSCAFG00845005812,ENSG00000100101,ENSG00000100101
ENSCAFG00845005817,UHRF1BP1L,ENSG00000111647,UHRF1BP1L
ENSCAFG00845005820,GPRC6A,ENSG00000173612,GPRC6A
ENSCAFG00845005821,ENSCAFG00845005821,ENSG00000010244,ZNF207
ENSCAFG00845005829,SPINDOC,ENSG00000168005,SPINDOC
ENSCAFG00845005830,ENSCAFG00845005830,ENSG00000178700,DHFR2
ENSCAFG00845005830,ENSCAFG00845005830,ENSG00000228716,DHFR
ENSCAFG00845005831,ENSCAFG00845005831,ENSG00000249222,ATP5MGL
ENSCAFG00845005831,ENSCAFG00845005831,ENSG00000167283,ATP5MG
ENSCAFG00845005834,TRAPPC6A,ENSG00000007255,TRAPPC6A
ENSCAFG00845005836,POLD2,ENSG00000106628,POLD2
ENSCAFG00845005838,KCNK6,ENSG00000099337,KCNK6
ENSCAFG00845005840,ZC3HAV1L,ENSG00000146858,ZC3HAV1L
ENSCAFG00845005841,ENSCAFG00845005841,ENSG00000185823,NPAP1
ENSCAFG00845005844,RAPGEF2,ENSG00000109756,RAPGEF2
ENSCAFG00845005846,ENSCAFG00845005846,ENSG00000125877,ITPA
ENSCAFG00845005847,TFB2M,ENSG00000162851,TFB2M
ENSCAFG00845005848,SPATA32,ENSG00000184361,SPATA32
ENSCAFG00845005849,SIM1,ENSG00000112246,SIM1
ENSCAFG00845005853,HCRTR1,ENSG00000121764,HCRTR1
ENSCAFG00845005855,NCAPH,ENSG00000121152,NCAPH
ENSCAFG00845005856,MCU,ENSG00000156026,MCU
ENSCAFG00845005860,SLC5A6,ENSG00000138074,SLC5A6
ENSCAFG00845005864,ANKRD34B,ENSG00000189127,ANKRD34B
ENSCAFG00845005865,RARS2,ENSG00000146282,RARS2
ENSCAFG00845005867,AHR,ENSG00000283321,ENSG00000283321
ENSCAFG00845005867,AHR,ENSG00000106546,AHR
ENSCAFG00845005868,OR5AP2,ENSG00000172464,OR5AP2
ENSCAFG00845005871,RFX6,ENSG00000185002,RFX6
ENSCAFG00845005872,NKPD1,ENSG00000179846,NKPD1
ENSCAFG00845005874,PIGO,ENSG00000165282,PIGO
ENSCAFG00845005877,GDAP2,ENSG00000196505,GDAP2
ENSCAFG00845005879,TNIP1,ENSG00000145901,TNIP1
ENSCAFG00845005880,CCKAR,ENSG00000163394,CCKAR
ENSCAFG00845005881,LGALS1,ENSG00000100097,LGALS1
ENSCAFG00845005885,INPP5E,ENSG00000148384,INPP5E
ENSCAFG00845005886,PTRH1,ENSG00000187024,PTRH1
ENSCAFG00845005887,UBR2,ENSG00000024048,UBR2
ENSCAFG00845005889,ENSCAFG00845005889,ENSG00000162341,TPCN2
ENSCAFG00845005889,ENSCAFG00845005889,ENSG00000287725,ENSG00000287725
ENSCAFG00845005890,FAM151B,ENSG00000152380,FAM151B
ENSCAFG00845005891,IPO4,ENSG00000196497,IPO4
ENSCAFG00845005892,SMIM19,ENSG00000176209,SMIM19
ENSCAFG00845005894,SPAM1,ENSG00000106304,SPAM1
ENSCAFG00845005896,ANGEL1,ENSG00000013523,ANGEL1
ENSCAFG00845005897,ENSCAFG00845005897,ENSG00000197771,MCMBP
ENSCAFG00845005900,ZFTA,ENSG00000188070,ZFTA
ENSCAFG00845005902,CDK2,ENSG00000123374,CDK2
ENSCAFG00845005903,ENSCAFG00845005903,ENSG00000169570,DTWD2
ENSCAFG00845005904,C5H1orf87,ENSG00000162598,C1orf87
ENSCAFG00845005905,PPP1R37,ENSG00000104866,PPP1R37
ENSCAFG00845005906,ASCC3,ENSG00000112249,ASCC3
ENSCAFG00845005907,YIF1B,ENSG00000167645,YIF1B
ENSCAFG00845005909,KIAA1549,ENSG00000122778,KIAA1549
ENSCAFG00845005910,GHITM,ENSG00000165678,GHITM
ENSCAFG00845005911,SELENOO,ENSG00000073169,SELENOO
ENSCAFG00845005913,HYAL4,ENSG00000106302,HYAL4
ENSCAFG00845005914,NBR1,ENSG00000188554,NBR1
ENSCAFG00845005915,ENSCAFG00845005915,ENSG00000254834,OR5M10
ENSCAFG00845005915,ENSCAFG00845005915,ENSG00000255012,OR5M1
ENSCAFG00845005916,MAP7,ENSG00000135525,MAP7
ENSCAFG00845005917,TINAGL1,ENSG00000142910,TINAGL1
ENSCAFG00845005918,ENSCAFG00845005918,ENSG00000160401,CFAP157
ENSCAFG00845005919,TP53I11,ENSG00000175274,TP53I11
ENSCAFG00845005921,APPL2,ENSG00000136044,APPL2
ENSCAFG00845005922,ACTR6,ENSG00000075089,ACTR6
ENSCAFG00845005923,PMPCA,ENSG00000165688,PMPCA
ENSCAFG00845005925,ENSCAFG00845005925,ENSG00000254834,OR5M10
ENSCAFG00845005925,ENSCAFG00845005925,ENSG00000255012,OR5M1
ENSCAFG00845005926,PDXP,ENSG00000241360,PDXP
ENSCAFG00845005928,OIT3,ENSG00000138315,OIT3
ENSCAFG00845005929,VGLL2,ENSG00000170162,VGLL2
ENSCAFG00845005930,C10orf99,ENSG00000188373,C10orf99
ENSCAFG00845005931,TMEM214,ENSG00000119777,TMEM214
ENSCAFG00845005932,NAP1L1,ENSG00000187109,NAP1L1
ENSCAFG00845005933,CNST,ENSG00000162852,CNST
ENSCAFG00845005934,GEMIN7,ENSG00000142252,GEMIN7
ENSCAFG00845005936,CNTN6,ENSG00000134115,CNTN6
ENSCAFG00845005937,TAMM41,ENSG00000144559,TAMM41
ENSCAFG00845005939,PHLPP2,ENSG00000166747,AP1G1
ENSCAFG00845005942,WDR3,ENSG00000065183,WDR3
ENSCAFG00845005944,ORC3,ENSG00000135336,ORC3
ENSCAFG00845005946,SOAT1,ENSG00000057252,SOAT1
ENSCAFG00845005947,AFP,ENSG00000081051,AFP
ENSCAFG00845005948,TSPAN18,ENSG00000157570,TSPAN18
ENSCAFG00845005949,ZFYVE16,ENSG00000039319,ZFYVE16
ENSCAFG00845005950,RPL3,ENSG00000100316,RPL3
ENSCAFG00845005951,ENSCAFG00845005951,ENSG00000185386,MAPK11
ENSCAFG00845005952,PPP1R3A,ENSG00000154415,PPP1R3A
ENSCAFG00845005953,ENPP2,ENSG00000136960,ENPP2
ENSCAFG00845005954,NIBAN2,ENSG00000136830,NIBAN2
ENSCAFG00845005956,ZNF296,ENSG00000170684,ZNF296
ENSCAFG00845005957,SH3D19,ENSG00000109686,SH3D19
ENSCAFG00845005958,ENSCAFG00845005958,ENSG00000252016,ENSG00000252016
ENSCAFG00845005959,STON1,ENSG00000068781,STON1-GTF2A1L
ENSCAFG00845005959,STON1,ENSG00000243244,STON1
ENSCAFG00845005960,KANK3,ENSG00000186994,KANK3
ENSCAFG00845005961,CYP2J2,ENSG00000134716,CYP2J2
ENSCAFG00845005962,FMNL1,ENSG00000184922,FMNL1
ENSCAFG00845005964,ENSCAFG00845005964,ENSG00000285304,ENSG00000285304
ENSCAFG00845005964,ENSCAFG00845005964,ENSG00000100092,SH3BP1
ENSCAFG00845005965,CDHR1,ENSG00000148600,CDHR1
ENSCAFG00845005966,AGBL5,ENSG00000084693,AGBL5
ENSCAFG00845005967,SLC20A2,ENSG00000168575,SLC20A2
ENSCAFG00845005969,RAB5B,ENSG00000111540,RAB5B
ENSCAFG00845005970,INSIG2,ENSG00000125629,INSIG2
ENSCAFG00845005972,KIAA1217,ENSG00000120549,KIAA1217
ENSCAFG00845005973,MAGI3,ENSG00000081026,MAGI3
ENSCAFG00845005974,PLA2G12B,ENSG00000138308,PLA2G12B
ENSCAFG00845005975,CD82,ENSG00000085117,CD82
ENSCAFG00845005977,RBPJ,ENSG00000168214,RBPJ
ENSCAFG00845005978,OR5M11,ENSG00000255223,OR5M11
ENSCAFG00845005979,SERINC2,ENSG00000168528,SERINC2
ENSCAFG00845005982,CTRL,ENSG00000141086,CTRL
ENSCAFG00845005983,AKIRIN2,ENSG00000135334,AKIRIN2
ENSCAFG00845005984,SPAG17,ENSG00000155761,SPAG17
ENSCAFG00845005985,LRRC74A,ENSG00000100565,LRRC74A
ENSCAFG00845005986,U6,ENSG00000202229,RNU6-1138P
ENSCAFG00845005987,U6,ENSG00000201687,RNU6-1107P
ENSCAFG00845005989,GPX3,ENSG00000211445,GPX3
ENSCAFG00845005991,AEBP1,ENSG00000106624,AEBP1
ENSCAFG00845005992,MRGPRF,ENSG00000172935,MRGPRF
ENSCAFG00845005993,ENTR1,ENSG00000165689,ENTR1
ENSCAFG00845005994,EMILIN1,ENSG00000138080,EMILIN1
ENSCAFG00845005996,MAPK12,ENSG00000188130,MAPK12
ENSCAFG00845005997,ENSCAFG00845005997,ENSG00000144028,SNRNP200
ENSCAFG00845005998,AFM,ENSG00000079557,AFM
ENSCAFG00845005999,OR5M8,ENSG00000181371,OR5M8
ENSCAFG00845006001,SUOX,ENSG00000139531,SUOX
ENSCAFG00845006002,TMEM213,ENSG00000214128,TMEM213
ENSCAFG00845006003,ALX4,ENSG00000052850,ALX4
ENSCAFG00845006006,CLASRP,ENSG00000104859,CLASRP
ENSCAFG00845006007,CCDC93,ENSG00000125633,CCDC93
ENSCAFG00845006009,RTN3,ENSG00000133318,RTN3
ENSCAFG00845006010,ANGPTL4,ENSG00000167772,ANGPTL4
ENSCAFG00845006011,SPZ1,ENSG00000164299,SPZ1
ENSCAFG00845006012,SNX13,ENSG00000071189,SNX13
ENSCAFG00845006013,ENSCAFG00845006013,ENSG00000134057,CCNB1
ENSCAFG00845006014,OR52N4,ENSG00000181074,OR52N4
ENSCAFG00845006015,ENSCAFG00845006015,ENSG00000037280,FLT4
ENSCAFG00845006016,FOXP2,ENSG00000128573,FOXP2
ENSCAFG00845006017,MRGPRD,ENSG00000172938,MRGPRD
ENSCAFG00845006018,GTF2A1L,ENSG00000242441,GTF2A1L
ENSCAFG00845006019,ROS1,ENSG00000047936,ROS1
ENSCAFG00845006021,WASHC4,ENSG00000136051,WASHC4
ENSCAFG00845006023,NTM,ENSG00000182667,NTM
ENSCAFG00845006025,MED23,ENSG00000112282,MED23
ENSCAFG00845006026,U3,ENSG00000199851,U3
ENSCAFG00845006028,LRIT2,ENSG00000204033,LRIT2
ENSCAFG00845006030,STOML2,ENSG00000165283,STOML2
ENSCAFG00845006032,GKAP1,ENSG00000165113,GKAP1
ENSCAFG00845006033,U1,ENSG00000275229,RNU1-68P
ENSCAFG00845006033,U1,ENSG00000270384,RNU1-154P
ENSCAFG00845006033,U1,ENSG00000277234,RNU1-5P
ENSCAFG00845006033,U1,ENSG00000201142,RNU1-151P
ENSCAFG00845006033,U1,ENSG00000275987,U1
ENSCAFG00845006033,U1,ENSG00000277344,RNU1-6P
ENSCAFG00845006033,U1,ENSG00000200338,RNU1-49P
ENSCAFG00845006033,U1,ENSG00000202167,RNU1-114P
ENSCAFG00845006033,U1,ENSG00000206791,RNU1-129P
ENSCAFG00845006033,U1,ENSG00000277678,RNU1-153P
ENSCAFG00845006033,U1,ENSG00000252105,RNU1-143P
ENSCAFG00845006033,U1,ENSG00000273516,U1
ENSCAFG00845006034,HOOK1,ENSG00000134709,HOOK1
ENSCAFG00845006035,NEU3,ENSG00000162139,NEU3
ENSCAFG00845006037,SERINC5,ENSG00000164300,SERINC5
ENSCAFG00845006038,IKZF4,ENSG00000123411,IKZF4
ENSCAFG00845006043,GGA1,ENSG00000100083,GGA1
ENSCAFG00845006044,VGLL4,ENSG00000144560,VGLL4
ENSCAFG00845006046,KHK,ENSG00000138030,KHK
ENSCAFG00845006050,P4HA1,ENSG00000122884,P4HA1
ENSCAFG00845006054,PFKFB4,ENSG00000114268,PFKFB4
ENSCAFG00845006057,LRIT1,ENSG00000148602,LRIT1
ENSCAFG00845006059,WASL,ENSG00000106299,WASL
ENSCAFG00845006061,SPACA1,ENSG00000118434,SPACA1
ENSCAFG00845006062,OR56B2,ENSG00000181017,OR56B2P
ENSCAFG00845006064,PTBP3,ENSG00000119314,PTBP3
ENSCAFG00845006065,DDX18,ENSG00000088205,DDX18
ENSCAFG00845006066,ENSCAFG00845006066,ENSG00000278633,ENSG00000278633
ENSCAFG00845006066,ENSCAFG00845006066,ENSG00000276017,ENSG00000276017
ENSCAFG00845006067,ATP6V0A4,ENSG00000105929,ATP6V0A4
ENSCAFG00845006068,SPINT2,ENSG00000167642,SPINT2
ENSCAFG00845006069,SCYL2,ENSG00000136021,SCYL2
ENSCAFG00845006070,BRCA1,ENSG00000012048,BRCA1
ENSCAFG00845006071,SPCS2,ENSG00000118363,SPCS2
ENSCAFG00845006073,ENSCAFG00845006073,ENSG00000157106,SMG1
ENSCAFG00845006074,DKK4,ENSG00000104371,DKK4
ENSCAFG00845006075,ENSCAFG00845006075,ENSG00000125870,SNRPB2
ENSCAFG00845006076,FABP3,ENSG00000121769,FABP3
ENSCAFG00845006079,TBX15,ENSG00000092607,TBX15
ENSCAFG00845006080,OR56B2C,ENSG00000181017,OR56B2P
ENSCAFG00845006081,ENSCAFG00845006081,ENSG00000278633,ENSG00000278633
ENSCAFG00845006081,ENSCAFG00845006081,ENSG00000276017,ENSG00000276017
ENSCAFG00845006084,ZEB2,ENSG00000169554,ZEB2
ENSCAFG00845006086,ENSCAFG00845006086,ENSG00000135451,TROAP
ENSCAFG00845006090,NUDT13,ENSG00000166321,NUDT13
ENSCAFG00845006093,ENSCAFG00845006093,ENSG00000181017,OR56B2P
ENSCAFG00845006094,ENSCAFG00845006094,ENSG00000140577,CRTC3
ENSCAFG00845006095,SNAPC4,ENSG00000165684,SNAPC4
ENSCAFG00845006097,ENSCAFG00845006097,ENSG00000134121,CHL1
ENSCAFG00845006098,THBS4,ENSG00000113296,THBS4
ENSCAFG00845006101,OR5M3,ENSG00000174937,OR5M3
ENSCAFG00845006103,BBS10,ENSG00000179941,BBS10
ENSCAFG00845006104,POLB,ENSG00000070501,POLB
ENSCAFG00845006105,ENSCAFG00845006105,ENSG00000111775,COX6A1
ENSCAFG00845006106,PSKH1,ENSG00000159792,PSKH1
ENSCAFG00845006108,RGR,ENSG00000148604,RGR
ENSCAFG00845006109,U1,ENSG00000206624,RNU1-39P
ENSCAFG00845006112,IGHMBP2,ENSG00000132740,IGHMBP2
ENSCAFG00845006113,CGREF1,ENSG00000138028,CGREF1
ENSCAFG00845006114,MDFIC,ENSG00000135272,MDFIC
ENSCAFG00845006117,RELB,ENSG00000104856,RELB
ENSCAFG00845006118,XRRA1,ENSG00000166435,XRRA1
ENSCAFG00845006119,OR5M9,ENSG00000150269,OR5M9
ENSCAFG00845006119,OR5M9,ENSG00000284732,ENSG00000284732
ENSCAFG00845006120,OR52N1,ENSG00000181001,OR52N1
ENSCAFG00845006123,CIAO1,ENSG00000144021,CIAO1
ENSCAFG00845006125,PPP1R14A,ENSG00000167641,PPP1R14A
ENSCAFG00845006127,SMIM20,ENSG00000250317,SMIM20
ENSCAFG00845006129,FAM214B,ENSG00000005238,FAM214B
ENSCAFG00845006130,SCCPDH,ENSG00000143653,SCCPDH
ENSCAFG00845006132,LRSAM1,ENSG00000148356,LRSAM1
ENSCAFG00845006134,OR8U3,ENSG00000279961,OR8U3
ENSCAFG00845006135,HEXIM2,ENSG00000168517,HEXIM2
ENSCAFG00845006136,EXT2,ENSG00000151348,EXT2
ENSCAFG00845006139,ENSCAFG00845006139,ENSG00000136295,TTYH3
ENSCAFG00845006140,NRN1L,ENSG00000188038,NRN1L
ENSCAFG00845006144,LMOD2,ENSG00000170807,LMOD2
ENSCAFG00845006145,ZCCHC17,ENSG00000121766,ZCCHC17
ENSCAFG00845006146,ENSCAFG00845006146,ENSG00000254692,ENSG00000254692
ENSCAFG00845006146,ENSCAFG00845006146,ENSG00000100926,TM9SF1
ENSCAFG00845006146,ENSCAFG00845006146,ENSG00000259522,ENSG00000259522
ENSCAFG00845006151,ALDH1L2,ENSG00000136010,ALDH1L2
ENSCAFG00845006153,EPHA5,ENSG00000145242,EPHA5
ENSCAFG00845006154,TMEM127,ENSG00000135956,TMEM127
ENSCAFG00845006156,DMXL1,ENSG00000172869,DMXL1
ENSCAFG00845006157,MARCHF2,ENSG00000099785,MARCHF2
ENSCAFG00845006158,ERBB3,ENSG00000065361,ERBB3
ENSCAFG00845006161,ABHD1,ENSG00000143994,ABHD1
ENSCAFG00845006162,UBQLN1,ENSG00000135018,UBQLN1
ENSCAFG00845006165,PLEC,ENSG00000178209,PLEC
ENSCAFG00845006166,LGALS2,ENSG00000100079,LGALS2
ENSCAFG00845006167,ENSCAFG00845006167,ENSG00000172199,OR8U1
ENSCAFG00845006169,ENSCAFG00845006169,ENSG00000145908,ZNF300
ENSCAFG00845006171,U4,ENSG00000272160,RNU4-5P
ENSCAFG00845006172,RASSF6,ENSG00000169435,RASSF6
ENSCAFG00845006173,SHD,ENSG00000105251,SHD
ENSCAFG00845006174,LHCGR,ENSG00000138039,LHCGR
ENSCAFG00845006174,LHCGR,ENSG00000279956,ENSG00000279956
ENSCAFG00845006177,RNF169,ENSG00000166439,RNF169
ENSCAFG00845006178,OR8U8,ENSG00000172199,OR8U1
ENSCAFG00845006179,U6,ENSG00000202485,RNU6-499P
ENSCAFG00845006180,ACBD4,ENSG00000181513,ACBD4
ENSCAFG00845006181,STARD7,ENSG00000084090,STARD7
ENSCAFG00845006182,OR52N2G,ENSG00000180988,OR52N2
ENSCAFG00845006183,CARD9,ENSG00000289701,ENSG00000289701
ENSCAFG00845006183,CARD9,ENSG00000187796,CARD9
ENSCAFG00845006184,GRIK2,ENSG00000164418,GRIK2
ENSCAFG00845006185,CIPC,ENSG00000198894,CIPC
ENSCAFG00845006186,TSSK4,ENSG00000139908,TSSK4
ENSCAFG00845006187,CCSER2,ENSG00000107771,CCSER2
ENSCAFG00845006188,SHISA5,ENSG00000164054,SHISA5
ENSCAFG00845006189,WARS2,ENSG00000116874,WARS2
ENSCAFG00845006191,OR8J3,ENSG00000167822,OR8J3
ENSCAFG00845006191,OR8J3,ENSG00000172487,OR8J1
ENSCAFG00845006193,LRIG2,ENSG00000198799,LRIG2
ENSCAFG00845006194,MAP3K5,ENSG00000197442,MAP3K5
ENSCAFG00845006195,ENSCAFG00845006195,ENSG00000074800,ENO1
ENSCAFG00845006196,RNGTT,ENSG00000111880,RNGTT
ENSCAFG00845006197,IKBKB,ENSG00000104365,IKBKB
ENSCAFG00845006201,PREB,ENSG00000138073,PREB
ENSCAFG00845006203,OR8K1,ENSG00000150261,OR8K1
ENSCAFG00845006204,FSTL5,ENSG00000168843,FSTL5
ENSCAFG00845006205,PRSS48,ENSG00000189099,PRSS48
ENSCAFG00845006207,DPF1,ENSG00000011332,DPF1
ENSCAFG00845006210,CHRDL2,ENSG00000054938,CHRDL2
ENSCAFG00845006213,YJU2,ENSG00000105248,YJU2
ENSCAFG00845006215,ENSCAFG00845006215,ENSG00000146809,ASB15
ENSCAFG00845006216,EDC4,ENSG00000038358,EDC4
ENSCAFG00845006218,ECD,ENSG00000122882,ECD
ENSCAFG00845006219,SNRNP40,ENSG00000060688,SNRNP40
ENSCAFG00845006221,RND2,ENSG00000108830,RND2
ENSCAFG00845006222,DNLZ,ENSG00000213221,DNLZ
ENSCAFG00845006223,CDC42EP1,ENSG00000128283,CDC42EP1
ENSCAFG00845006224,OR8K5,ENSG00000181752,OR8K5
ENSCAFG00845006226,DUSP2,ENSG00000158050,DUSP2
ENSCAFG00845006228,CHMP4A,ENSG00000254505,CHMP4A
ENSCAFG00845006230,MTX3,ENSG00000177034,MTX3
ENSCAFG00845006232,HDAC10,ENSG00000100429,HDAC10
ENSCAFG00845006234,RAB38,ENSG00000123892,RAB38
ENSCAFG00845006236,PLCD3,ENSG00000161714,PLCD3
ENSCAFG00845006239,ZDHHC22,ENSG00000177108,ZDHHC22
ENSCAFG00845006242,OR5J2,ENSG00000174957,OR5J2
ENSCAFG00845006243,U6,ENSG00000202490,RNU6-597P
ENSCAFG00845006245,EBI3,ENSG00000105246,EBI3
ENSCAFG00845006246,ENSCAFG00845006246,ENSG00000120451,SNX19
ENSCAFG00845006249,OSBPL8,ENSG00000091039,OSBPL8
ENSCAFG00845006250,ENSCAFG00845006250,ENSG00000205409,OR52E6
ENSCAFG00845006250,ENSCAFG00845006250,ENSG00000183269,OR52E8
ENSCAFG00845006253,FGGY,ENSG00000172456,FGGY
ENSCAFG00845006255,NOPCHAP1,ENSG00000151131,NOPCHAP1
ENSCAFG00845006256,SVOPL,ENSG00000157703,SVOPL
ENSCAFG00845006257,ENSCAFG00845006257,ENSG00000174957,OR5J2
ENSCAFG00845006258,TREX1,ENSG00000213689,TREX1
ENSCAFG00845006259,IDNK,ENSG00000148057,IDNK
ENSCAFG00845006260,MDP1,ENSG00000213920,MDP1
ENSCAFG00845006260,MDP1,ENSG00000255526,NEDD8-MDP1
ENSCAFG00845006262,TCF23,ENSG00000163792,TCF23
ENSCAFG00845006265,ABL2,ENSG00000143322,ABL2
ENSCAFG00845006266,ACVR2A,ENSG00000121989,ACVR2A
ENSCAFG00845006267,HSDL2,ENSG00000119471,HSDL2
ENSCAFG00845006268,OPN5,ENSG00000124818,OPN5
ENSCAFG00845006270,ENSCAFG00845006270,ENSG00000106003,LFNG
ENSCAFG00845006271,ASTL,ENSG00000188886,ASTL
ENSCAFG00845006272,POLM,ENSG00000122678,POLM
ENSCAFG00845006273,ENSCAFG00845006273,ENSG00000280314,OR8K3
ENSCAFG00845006274,OR52E8,ENSG00000205409,OR52E6
ENSCAFG00845006274,OR52E8,ENSG00000183269,OR52E8
ENSCAFG00845006275,CXCL8,ENSG00000169429,CXCL8
ENSCAFG00845006276,SEL1L3,ENSG00000091490,SEL1L3
ENSCAFG00845006277,VAT1,ENSG00000108828,VAT1
ENSCAFG00845006278,HAO2,ENSG00000116882,HAO2
ENSCAFG00845006281,ATL3,ENSG00000184743,ATL3
ENSCAFG00845006283,GRID1,ENSG00000182771,GRID1
ENSCAFG00845006286,OR8K86,ENSG00000280314,OR8K3
ENSCAFG00845006288,ATG7,ENSG00000197548,ATG7
ENSCAFG00845006291,SLC16A1,ENSG00000155380,SLC16A1
ENSCAFG00845006293,ENSCAFG00845006293,ENSG00000166106,ADAMTS15
ENSCAFG00845006295,GPSM1,ENSG00000160360,GPSM1
ENSCAFG00845006297,TFEC,ENSG00000105967,TFEC
ENSCAFG00845006300,NEDD8,ENSG00000129559,NEDD8
ENSCAFG00845006301,PA2G4,ENSG00000257411,ENSG00000257411
ENSCAFG00845006301,PA2G4,ENSG00000170515,PA2G4
ENSCAFG00845006302,ADRA2B,ENSG00000274286,ADRA2B
ENSCAFG00845006304,OR8K87,ENSG00000280314,OR8K3
ENSCAFG00845006305,ENSCAFG00845006305,ENSG00000223224,SNORD71
ENSCAFG00845006308,ATRIP,ENSG00000164053,ATRIP
ENSCAFG00845006309,PEX7,ENSG00000112357,PEX7
ENSCAFG00845006310,OR52E4B,ENSG00000180974,OR52E4
ENSCAFG00845006311,NKAIN1,ENSG00000084628,NKAIN1
ENSCAFG00845006312,FANCE,ENSG00000112039,FANCE
ENSCAFG00845006313,CXCL6,ENSG00000124875,CXCL6
ENSCAFG00845006315,HNRNPM,ENSG00000099783,HNRNPM
ENSCAFG00845006316,NMT1,ENSG00000136448,NMT1
ENSCAFG00845006317,ATXN1L,ENSG00000224470,ATXN1L
ENSCAFG00845006318,ANKRD24,ENSG00000089847,ANKRD24
ENSCAFG00845006322,U6,ENSG00000200269,RNU6-838P
ENSCAFG00845006323,ATRAID,ENSG00000138085,ATRAID
ENSCAFG00845006324,OR8K7,ENSG00000280314,OR8K3
ENSCAFG00845006325,SLC41A2,ENSG00000136052,SLC41A2
ENSCAFG00845006327,ENSCAFG00845006327,ENSG00000136929,HEMGN
ENSCAFG00845006328,SLC17A8,ENSG00000179520,SLC17A8
ENSCAFG00845006333,ENSCAFG00845006333,ENSG00000199104,MIR346
ENSCAFG00845006334,OR56A4,ENSG00000183389,OR56A4
ENSCAFG00845006335,DCBLD1,ENSG00000164465,DCBLD1
ENSCAFG00845006336,GRIFIN,ENSG00000275572,GRIFIN
ENSCAFG00845006339,TMEM63C,ENSG00000165548,TMEM63C
ENSCAFG00845006341,PPBP,ENSG00000163736,PPBP
ENSCAFG00845006342,CLPTM1,ENSG00000104853,CLPTM1
ENSCAFG00845006343,DCTN4,ENSG00000132912,DCTN4
ENSCAFG00845006344,DPP10,ENSG00000175497,DPP10
ENSCAFG00845006345,ENSCAFG00845006345,ENSG00000242485,MRPL20
ENSCAFG00845006346,MIR708,ENSG00000211997,MIR708
ENSCAFG00845006349,GMPR2,ENSG00000100938,GMPR2
ENSCAFG00845006350,U4,ENSG00000222760,RNU4-53P
ENSCAFG00845006351,HSD3B2,ENSG00000203857,HSD3B1
ENSCAFG00845006351,HSD3B2,ENSG00000203859,HSD3B2
ENSCAFG00845006352,TMEM135,ENSG00000166575,TMEM135
ENSCAFG00845006353,ZC3H10,ENSG00000135482,ZC3H10
ENSCAFG00845006354,ENSCAFG00845006354,ENSG00000223501,VPS52
ENSCAFG00845006356,ADAMTS8,ENSG00000134917,ADAMTS8
ENSCAFG00845006360,DCAKD,ENSG00000172992,DCAKD
ENSCAFG00845006361,ENSCAFG00845006361,ENSG00000284386,MIR147B
ENSCAFG00845006362,CARD10,ENSG00000100065,CARD10
ENSCAFG00845006363,ZNF821,ENSG00000102984,ZNF821
ENSCAFG00845006364,RPL10A,ENSG00000198755,RPL10A
ENSCAFG00845006369,TAFA3,ENSG00000184599,TAFA3
ENSCAFG00845006371,ANP32B,ENSG00000136938,ANP32B
ENSCAFG00845006372,CHST12,ENSG00000136213,CHST12
ENSCAFG00845006373,IFI35,ENSG00000068079,IFI35
ENSCAFG00845006374,PGAM2,ENSG00000164708,PGAM2
ENSCAFG00845006375,LIPT2,ENSG00000175536,LIPT2
ENSCAFG00845006376,C1QL1,ENSG00000131094,C1QL1
ENSCAFG00845006378,CMYA5,ENSG00000164309,CMYA5
ENSCAFG00845006379,GPAT2,ENSG00000186281,GPAT2
ENSCAFG00845006382,ESYT1,ENSG00000139641,ESYT1
ENSCAFG00845006384,FRMD3,ENSG00000172159,FRMD3
ENSCAFG00845006386,SLC35D3,ENSG00000182747,SLC35D3
ENSCAFG00845006387,ZNF697,ENSG00000143067,ZNF697
ENSCAFG00845006388,ENSCAFG00845006388,ENSG00000177595,PIDD1
ENSCAFG00845006389,PTCHD4,ENSG00000244694,PTCHD4
ENSCAFG00845006390,KCNE3,ENSG00000175538,KCNE3
ENSCAFG00845006391,NAF1,ENSG00000145414,NAF1
ENSCAFG00845006392,KIF18B,ENSG00000186185,KIF18B
ENSCAFG00845006393,WAPL,ENSG00000062650,WAPL
ENSCAFG00845006394,CNOT6,ENSG00000113300,CNOT6
ENSCAFG00845006396,OR8J2B,ENSG00000254658,OR8J2
ENSCAFG00845006398,NR1H4,ENSG00000012504,NR1H4
ENSCAFG00845006399,OR56A3C,ENSG00000184478,OR56A3
ENSCAFG00845006401,Y_RNA,ENSG00000201311,Y_RNA
ENSCAFG00845006401,Y_RNA,ENSG00000200305,Y_RNA
ENSCAFG00845006402,CCDC51,ENSG00000164051,CCDC51
ENSCAFG00845006403,RBM22,ENSG00000086589,RBM22
ENSCAFG00845006405,SIPA1L3,ENSG00000105738,SIPA1L3
ENSCAFG00845006406,NANS,ENSG00000095380,NANS
ENSCAFG00845006407,TEAD3,ENSG00000007866,TEAD3
ENSCAFG00845006412,ZBTB44,ENSG00000196323,ZBTB44
ENSCAFG00845006417,PGM2L1,ENSG00000165434,PGM2L1
ENSCAFG00845006418,TES,ENSG00000135269,TES
ENSCAFG00845006419,RPL27,ENSG00000131469,RPL27
ENSCAFG00845006420,ENSCAFG00845006420,ENSG00000205581,HMGN1
