Gene stable ID,Gene name,Mouse gene stable ID,Mouse gene name
ENSCAFG00845009702,C10H2orf49,ENSMUSG00000010290,AI597479
ENSCAFG00845009703,CCZ1,ENSMUSG00000029617,Ccz1
ENSCAFG00845009704,MYF6,ENSMUSG00000035923,Myf6
ENSCAFG00845009705,OR2D3,ENSMUSG00000073896,Olfr716
ENSCAFG00845009706,ENSCAFG00845009706,ENSMUSG00000070372,Capza1
ENSCAFG00845009707,MSMP,ENSMUSG00000078719,Msmp
ENSCAFG00845009708,ENSCAFG00845009708,ENSMUSG00000030652,Coq7
ENSCAFG00845009709,STAT5A,ENSMUSG00000004043,Stat5a
ENSCAFG00845009710,ASCL1,ENSMUSG00000020052,Ascl1
ENSCAFG00845009711,ENSCAFG00845009711,ENSMUSG00000064037,Gpn1
ENSCAFG00845009712,CYREN,ENSMUSG00000046806,Cyren
ENSCAFG00845009713,ENSCAFG00845009713,ENSMUSG00000110324,Gm40460
ENSCAFG00845009713,ENSCAFG00845009713,ENSMUSG00000109859,Gm45618
ENSCAFG00845009713,ENSCAFG00845009713,ENSMUSG00000056885,Gm4559
ENSCAFG00845009713,ENSCAFG00845009713,ENSMUSG00000054759,Krtap5-2
ENSCAFG00845009715,ENSCAFG00845009715,ENSMUSG00000065520,Mir128-1
ENSCAFG00845009716,ENSCAFG00845009716,ENSMUSG00000032348,Gsta4
ENSCAFG00845009717,PIPOX,ENSMUSG00000017453,Pipox
ENSCAFG00845009719,DLA88,ENSMUSG00000073411,H2-D1
ENSCAFG00845009719,DLA88,ENSMUSG00000073402,Gm8909
ENSCAFG00845009719,DLA88,ENSMUSG00000035929,H2-Q4
ENSCAFG00845009719,DLA88,ENSMUSG00000091705,H2-Q2
ENSCAFG00845009719,DLA88,ENSMUSG00000079507,H2-Q1
ENSCAFG00845009719,DLA88,ENSMUSG00000079491,H2-T10
ENSCAFG00845009719,DLA88,ENSMUSG00000079492,Gm11127
ENSCAFG00845009719,DLA88,ENSMUSG00000092243,Gm7030
ENSCAFG00845009719,DLA88,ENSMUSG00000060550,H2-Q7
ENSCAFG00845009719,DLA88,ENSMUSG00000054128,H2-T3
ENSCAFG00845009719,DLA88,ENSMUSG00000067212,H2-T23
ENSCAFG00845009719,DLA88,ENSMUSG00000064308,2410137M14Rik
ENSCAFG00845009719,DLA88,ENSMUSG00000067235,H2-Q10
ENSCAFG00845009719,DLA88,ENSMUSG00000073409,H2-Q6
ENSCAFG00845009719,DLA88,ENSMUSG00000056116,H2-T22
ENSCAFG00845009719,DLA88,ENSMUSG00000061232,H2-K1
ENSCAFG00845009720,TXK,ENSMUSG00000054892,Txk
ENSCAFG00845009721,ENSCAFG00845009721,ENSMUSG00000028314,Toporsl
ENSCAFG00845009723,LHFPL4,ENSMUSG00000042873,Lhfpl4
ENSCAFG00845009724,OR2D3F,ENSMUSG00000073896,Olfr716
ENSCAFG00845009725,LSM12,ENSMUSG00000020922,Lsm12
ENSCAFG00845009726,ENSCAFG00845009726,ENSMUSG00000077323,Rnu11
ENSCAFG00845009727,ENSCAFG00845009727,ENSMUSG00000014355,Anapc1
ENSCAFG00845009728,BCL9,ENSMUSG00000038256,Bcl9
ENSCAFG00845009729,CPNE5,ENSMUSG00000024008,Cpne5
ENSCAFG00845009730,PDF,ENSMUSG00000031916,Cog8
ENSCAFG00845009731,ENSCAFG00845009731,ENSMUSG00000070102,Mir455
ENSCAFG00845009733,TSC22D1,ENSMUSG00000022010,Tsc22d1
ENSCAFG00845009734,ENSCAFG00845009734,ENSMUSG00000000435,Myf5
ENSCAFG00845009735,MED22,ENSMUSG00000015776,Med22
ENSCAFG00845009736,MEP1B,ENSMUSG00000024313,Mep1b
ENSCAFG00845009737,PDE2A,ENSMUSG00000030653,Gm45837
ENSCAFG00845009737,PDE2A,ENSMUSG00000110195,Pde2a
ENSCAFG00845009739,ENSCAFG00845009739,ENSMUSG00000023367,Tmem176a
ENSCAFG00845009740,VPS13A,ENSMUSG00000046230,Vps13a
ENSCAFG00845009741,XPO5,ENSMUSG00000067150,Xpo5
ENSCAFG00845009742,SMAP1,ENSMUSG00000026155,Smap1
ENSCAFG00845009744,UBXN4,ENSMUSG00000026353,Ubxn4
ENSCAFG00845009745,TMEM140,ENSMUSG00000057137,Tmem140
ENSCAFG00845009746,ARMC2,ENSMUSG00000071324,Armc2
ENSCAFG00845009747,EXOC3L1,ENSMUSG00000043251,Exoc3l
ENSCAFG00845009750,AHNAK,ENSMUSG00000069833,Ahnak
ENSCAFG00845009751,STK31,ENSMUSG00000023403,Stk31
ENSCAFG00845009752,ENSCAFG00845009752,ENSMUSG00000028001,Fga
ENSCAFG00845009754,ENSCAFG00845009754,ENSMUSG00000110061,Gm45337
ENSCAFG00845009754,ENSCAFG00845009754,ENSMUSG00000110091,Gm39115
ENSCAFG00845009754,ENSCAFG00845009754,ENSMUSG00000073786,Gm7579
ENSCAFG00845009756,NFIC,ENSMUSG00000055053,Nfic
ENSCAFG00845009758,OR13F1,ENSMUSG00000089717,Olfr275
ENSCAFG00845009759,GPR108,ENSMUSG00000005823,Gpr108
ENSCAFG00845009761,SLC25A10,ENSMUSG00000025792,Slc25a10
ENSCAFG00845009762,LIN7A,ENSMUSG00000019906,Lin7a
ENSCAFG00845009764,ENSCAFG00845009764,ENSMUSG00000047911,Npm2
ENSCAFG00845009765,ENSCAFG00845009765,ENSMUSG00000028359,Orm3
ENSCAFG00845009765,ENSCAFG00845009765,ENSMUSG00000039196,Orm1
ENSCAFG00845009765,ENSCAFG00845009765,ENSMUSG00000061540,Orm2
ENSCAFG00845009766,TMEM101,ENSMUSG00000020921,Tmem101
ENSCAFG00845009767,PDF,ENSMUSG00000078931,Pdf
ENSCAFG00845009768,TGFBRAP1,ENSMUSG00000070939,Tgfbrap1
ENSCAFG00845009769,NDRG1,ENSMUSG00000005125,Ndrg1
ENSCAFG00845009772,SMG5,ENSMUSG00000001415,Smg5
ENSCAFG00845009774,CSF2,ENSMUSG00000018916,Csf2
ENSCAFG00845009776,PHYKPL,ENSMUSG00000020359,Phykpl
ENSCAFG00845009777,NPR2,ENSMUSG00000028469,Npr2
ENSCAFG00845009778,HMOX1,ENSMUSG00000005413,Hmox1
ENSCAFG00845009779,TEC,ENSMUSG00000029217,Tec
ENSCAFG00845009780,RPL7A,ENSMUSG00000062647,Rpl7a
ENSCAFG00845009783,AFAP1L1,ENSMUSG00000033032,Afap1l1
ENSCAFG00845009788,SNORD22,ENSMUSG00000065087,Snord22
ENSCAFG00845009788,SNORD22,ENSMUSG00000089350,Gm25487
ENSCAFG00845009790,SETD2,ENSMUSG00000044791,Setd2
ENSCAFG00845009791,ENSCAFG00845009791,ENSMUSG00000039215,Aoc1l3
ENSCAFG00845009791,ENSCAFG00845009791,ENSMUSG00000068536,Aoc1l1
ENSCAFG00845009791,ENSCAFG00845009791,ENSMUSG00000029813,Aoc1l2
ENSCAFG00845009791,ENSCAFG00845009791,ENSMUSG00000029811,Aoc1
ENSCAFG00845009792,UGT2A1,ENSMUSG00000106677,Ugt2a1
ENSCAFG00845009792,UGT2A1,ENSMUSG00000107180,Gm43638
ENSCAFG00845009793,ENSCAFG00845009793,ENSMUSG00000061904,Slc25a3
ENSCAFG00845009794,ENSCAFG00845009794,ENSMUSG00000044581,4932415D10Rik
ENSCAFG00845009796,OR13C3,ENSMUSG00000049648,Olfr273
ENSCAFG00845009797,AGBL3,ENSMUSG00000038836,Agbl3
ENSCAFG00845009798,NR1D1,ENSMUSG00000020889,Nr1d1
ENSCAFG00845009799,PEX12,ENSMUSG00000018733,Pex12
ENSCAFG00845009802,PKD1L1,ENSMUSG00000046634,Pkd1l1
ENSCAFG00845009803,NAGS,ENSMUSG00000048217,Nags
ENSCAFG00845009805,VPS4A,ENSMUSG00000031913,Vps4a
ENSCAFG00845009806,TRIM23,ENSMUSG00000021712,Trim23
ENSCAFG00845009807,LCT,ENSMUSG00000026354,Lct
ENSCAFG00845009808,RAB42,ENSMUSG00000089687,Rab42
ENSCAFG00845009809,PACRGL,ENSMUSG00000029089,5730480H06Rik
ENSCAFG00845009811,OR13C8,ENSMUSG00000051593,Olfr272
ENSCAFG00845009813,PRKAR1B,ENSMUSG00000025855,Prkar1b
ENSCAFG00845009814,CDON,ENSMUSG00000038119,Cdon
ENSCAFG00845009815,ENSCAFG00845009815,ENSMUSG00000065715,Snord7
ENSCAFG00845009816,GPR45,ENSMUSG00000041907,Gpr45
ENSCAFG00845009818,ENSCAFG00845009818,ENSMUSG00000046364,Rpl27a
ENSCAFG00845009820,AKNA,ENSMUSG00000039158,Akna
ENSCAFG00845009821,SNORD24,ENSMUSG00000065258,Gm23969
ENSCAFG00845009822,AIP,ENSMUSG00000024847,Aip
ENSCAFG00845009823,MRPL12,ENSMUSG00000039640,Mrpl12
ENSCAFG00845009825,SERP2,ENSMUSG00000052584,Serp2
ENSCAFG00845009826,PBK,ENSMUSG00000022033,Pbk
ENSCAFG00845009827,ARL5A,ENSMUSG00000036093,Arl5a
ENSCAFG00845009828,STAT6,ENSMUSG00000002147,Stat6
ENSCAFG00845009832,HOXB5,ENSMUSG00000038700,Hoxb5
ENSCAFG00845009833,SNORD36,ENSMUSG00000064829,Gm22879
ENSCAFG00845009837,NTAQ1,ENSMUSG00000022359,Wdyhv1
ENSCAFG00845009838,ENSCAFG00845009838,ENSMUSG00000077506,Scarna9
ENSCAFG00845009839,AGAP3,ENSMUSG00000023353,Agap3
ENSCAFG00845009842,GRAMD2B,ENSMUSG00000001700,Gramd3
ENSCAFG00845009845,IBTK,ENSMUSG00000035941,Ibtk
ENSCAFG00845009846,MRPS9,ENSMUSG00000060679,Mrps9
ENSCAFG00845009847,ACP6,ENSMUSG00000028093,Acp6
ENSCAFG00845009850,SNORD36,ENSMUSG00000065295,Gm24134
ENSCAFG00845009851,U6,ENSMUSG00000089484,Gm24735
ENSCAFG00845009858,FGG,ENSMUSG00000033860,Fgg
ENSCAFG00845009860,OR13F1B,ENSMUSG00000089717,Olfr275
ENSCAFG00845009861,SLAIN2,ENSMUSG00000036087,Slain2
ENSCAFG00845009862,PYY,ENSMUSG00000017311,Pyy
ENSCAFG00845009863,KIF5B,ENSMUSG00000006740,Kif5b
ENSCAFG00845009869,PPP6C,ENSMUSG00000026753,Ppp6c
ENSCAFG00845009871,HOXB6,ENSMUSG00000000690,Hoxb6
ENSCAFG00845009872,STAB2,ENSMUSG00000035459,Stab2
ENSCAFG00845009873,SETD5,ENSMUSG00000034269,Setd5
ENSCAFG00845009874,KIAA0895L,ENSMUSG00000014837,4931428F04Rik
ENSCAFG00845009875,ENSCAFG00845009875,ENSMUSG00000088108,Snora47
ENSCAFG00845009876,U4,ENSMUSG00002076779,U4
ENSCAFG00845009877,SCGB1A1,ENSMUSG00000024654,Asrgl1
ENSCAFG00845009878,IKZF1,ENSMUSG00000018654,Ikzf1
ENSCAFG00845009879,OR13C2B,ENSMUSG00000082216,Olfr271-ps1
ENSCAFG00845009885,SNORD99,ENSMUSG00000080615,Snord99
ENSCAFG00845009886,SLFN14,ENSMUSG00000082101,Slfn14
ENSCAFG00845009887,ACSS3,ENSMUSG00000035948,Acss3
ENSCAFG00845009889,ENSCAFG00845009889,ENSMUSG00000027566,Psma7
ENSCAFG00845009892,ENAH,ENSMUSG00000022995,Enah
ENSCAFG00845009893,ZBED3,ENSMUSG00000041995,Zbed3
ENSCAFG00845009894,HGS,ENSMUSG00000025793,Hgs
ENSCAFG00845009895,TMEM134,ENSMUSG00000024845,Tmem134
ENSCAFG00845009896,OR13C2,ENSMUSG00000082216,Olfr271-ps1
ENSCAFG00845009899,HOXB7,ENSMUSG00000038721,Hoxb7
ENSCAFG00845009901,CILK1,ENSMUSG00000009828,Cilk1
ENSCAFG00845009903,KAT6B,ENSMUSG00000021767,Kat6b
ENSCAFG00845009904,TOM1,ENSMUSG00000042870,Tom1
ENSCAFG00845009905,CTSD,ENSMUSG00000110040,Gm49369
ENSCAFG00845009905,CTSD,ENSMUSG00000007891,Ctsd
ENSCAFG00845009906,PPY,ENSMUSG00000017316,Ppy
ENSCAFG00845009909,BGLAP,ENSMUSG00000074483,Bglap
ENSCAFG00845009909,BGLAP,ENSMUSG00000074489,Bglap3
ENSCAFG00845009909,BGLAP,ENSMUSG00000074486,Bglap2
ENSCAFG00845009911,KCNH2,ENSMUSG00000038319,Kcnh2
ENSCAFG00845009912,SNTB2,ENSMUSG00000041308,Sntb2
ENSCAFG00845009916,RNF138,ENSMUSG00000024317,Rnf138
ENSCAFG00845009918,PPM1H,ENSMUSG00000034613,Ppm1h
ENSCAFG00845009920,ENSCAFG00845009920,ENSMUSG00000079508,Apoo
ENSCAFG00845009922,SURF1,ENSMUSG00000015790,Surf1
ENSCAFG00845009924,ENSCAFG00845009924,ENSMUSG00000075569,Rsph10b
ENSCAFG00845009925,THRA,ENSMUSG00000058756,Thra
ENSCAFG00845009926,SLC10A4,ENSMUSG00000060204,Slc10a4-ps
ENSCAFG00845009926,SLC10A4,ENSMUSG00000029219,Slc10a4
ENSCAFG00845009927,ENSCAFG00845009927,ENSMUSG00000026851,BC005624
ENSCAFG00845009931,HOXB8,ENSMUSG00000056648,Hoxb8
ENSCAFG00845009933,MYO7A,ENSMUSG00000030761,Myo7a
ENSCAFG00845009934,TRNAU1AP,ENSMUSG00000028898,Trnau1ap
ENSCAFG00845009937,TRMU,ENSMUSG00000022386,Trmu
ENSCAFG00845009938,SMAP2,ENSMUSG00000032870,Smap2
ENSCAFG00845009942,PDGFA,ENSMUSG00000025856,Pdgfa
ENSCAFG00845009944,GRK6,ENSMUSG00000034686,Prr7
ENSCAFG00845009946,SCAI,ENSMUSG00000035236,Scai
ENSCAFG00845009948,KIAA0040,ENSMUSG00000090394,4930523C07Rik
ENSCAFG00845009949,OR13D1,ENSMUSG00000070983,Olfr270
ENSCAFG00845009950,ENSCAFG00845009950,ENSMUSG00000063935,Zar1
ENSCAFG00845009951,MCM6,ENSMUSG00000026355,Mcm6
ENSCAFG00845009952,GPR65,ENSMUSG00000021886,Gpr65
ENSCAFG00845009956,HOXB9,ENSMUSG00000020875,Hoxb9
ENSCAFG00845009957,SH3TC1,ENSMUSG00000036553,Sh3tc1
ENSCAFG00845009958,ENSCAFG00845009958,ENSMUSG00000005846,Rsl1d1
ENSCAFG00845009961,P4HA2,ENSMUSG00000018906,P4ha2
ENSCAFG00845009963,SLC25A44,ENSMUSG00000050144,Slc25a44
ENSCAFG00845009966,NOL3,ENSMUSG00000014776,Nol3
ENSCAFG00845009968,OR13D1B,ENSMUSG00000070983,Olfr270
ENSCAFG00845009969,RBKS,ENSMUSG00000029136,Rbks
ENSCAFG00845009970,STAT5B,ENSMUSG00000020919,Stat5b
ENSCAFG00845009971,FBXO32,ENSMUSG00000022358,Fbxo32
ENSCAFG00845009972,PPIL1,ENSMUSG00000024007,Ppil1
ENSCAFG00845009974,HNRNPAB,ENSMUSG00000020358,Hnrnpab
ENSCAFG00845009976,U6,ENSMUSG00000088706,Gm25552
ENSCAFG00845009977,WHRN,ENSMUSG00000039137,Whrn
ENSCAFG00845009979,POU3F3,ENSMUSG00000045515,Pou3f3
ENSCAFG00845009980,OR13D3,ENSMUSG00000070983,Olfr270
ENSCAFG00845009981,SESN1,ENSMUSG00000038332,Sesn1
ENSCAFG00845009982,GRK6,ENSMUSG00000074886,Grk6
ENSCAFG00845009983,CABP4,ENSMUSG00000024842,Cabp4
ENSCAFG00845009984,NLRP14,ENSMUSG00000016626,Nlrp14
ENSCAFG00845009987,SPAG8,ENSMUSG00000066196,Spag8
ENSCAFG00845009988,CXNI,ENSMUSG00000057123,Gja5
ENSCAFG00845009989,MPP2,ENSMUSG00000017314,Mpp2
ENSCAFG00845009991,CALD1,ENSMUSG00000029761,Cald1
ENSCAFG00845009992,HOXB13,ENSMUSG00000049604,Hoxb13
ENSCAFG00845009993,DUSP29,ENSMUSG00000063821,Dupd1
ENSCAFG00845009995,KCNK10,ENSMUSG00000033854,Kcnk10
ENSCAFG00845009996,ESCO2,ENSMUSG00000022034,Esco2
ENSCAFG00845009998,AVPR1A,ENSMUSG00000020123,Avpr1a
ENSCAFG00845010000,TRAPPC13,ENSMUSG00000021711,Trappc13
ENSCAFG00845010001,ENSCAFG00845010001,ENSMUSG00000021681,Aggf1
ENSCAFG00845010002,SURF2,ENSMUSG00000014873,Surf2
ENSCAFG00845010003,ENSCAFG00845010003,ENSMUSG00000003038,Hmgn2
ENSCAFG00845010005,ENSCAFG00845010005,ENSMUSG00000024048,Myl12a
ENSCAFG00845010007,FBXO9,ENSMUSG00000001366,Fbxo9
ENSCAFG00845010008,ENSCAFG00845010008,ENSMUSG00000054404,Slfn5
ENSCAFG00845010010,LACC1,ENSMUSG00000044350,Lacc1
ENSCAFG00845010011,GJA8,ENSMUSG00000049908,Gja8
ENSCAFG00845010012,DCSTAMP,ENSMUSG00000022303,Dcstamp
ENSCAFG00845010015,UTP4,ENSMUSG00000041438,Utp4
ENSCAFG00845010016,GTSE1,ENSMUSG00000022385,Gtse1
ENSCAFG00845010017,TTLL6,ENSMUSG00000038756,Ttll6
ENSCAFG00845010018,RNF125,ENSMUSG00000033107,Rnf125
ENSCAFG00845010019,CCDC137,ENSMUSG00000049957,Ccdc137
ENSCAFG00845010020,ANAPC1,ENSMUSG00000014355,Anapc1
ENSCAFG00845010021,ENSCAFG00845010021,ENSMUSG00000020514,Mrpl22
ENSCAFG00845010022,HINT2,ENSMUSG00000028470,Hint2
ENSCAFG00845010023,SEMA4A,ENSMUSG00000028064,Sema4a
ENSCAFG00845010026,KLHL38,ENSMUSG00000022357,Klhl38
ENSCAFG00845010027,LRAT,ENSMUSG00000028003,Lrat
ENSCAFG00845010030,DLA-64,ENSMUSG00000058124,H2-M10.3
ENSCAFG00845010030,DLA-64,ENSMUSG00000024448,H2-M10.1
ENSCAFG00845010030,DLA-64,ENSMUSG00000048231,H2-M10.4
ENSCAFG00845010030,DLA-64,ENSMUSG00000024459,H2-M5
ENSCAFG00845010030,DLA-64,ENSMUSG00000037537,H2-M11
ENSCAFG00845010030,DLA-64,ENSMUSG00000037334,H2-M1
ENSCAFG00845010030,DLA-64,ENSMUSG00000016206,H2-M3
ENSCAFG00845010030,DLA-64,ENSMUSG00000037130,H2-M10.6
ENSCAFG00845010030,DLA-64,ENSMUSG00000067201,H2-M9
ENSCAFG00845010030,DLA-64,ENSMUSG00000037246,H2-M10.5
ENSCAFG00845010030,DLA-64,ENSMUSG00000023083,H2-M10.2
ENSCAFG00845010032,ENSCAFG00845010032,ENSMUSG00000096872,Scgb2a2
ENSCAFG00845010033,FRMD4B,ENSMUSG00000030064,Frmd4b
ENSCAFG00845010034,TMEM182,ENSMUSG00000079588,Tmem182
ENSCAFG00845010038,G2E3,ENSMUSG00000035293,G2e3
ENSCAFG00845010039,FOXL3,ENSMUSG00000094504,Foxl3
ENSCAFG00845010041,SURF4,ENSMUSG00000014867,Surf4
ENSCAFG00845010042,MIR139,ENSMUSG00000065446,Mir139
ENSCAFG00845010043,FRYL,ENSMUSG00000070733,Fryl
ENSCAFG00845010046,GOLGA1,ENSMUSG00000026754,Golga1
ENSCAFG00845010047,GPR152,ENSMUSG00000044724,Gpr152
ENSCAFG00845010048,SULT1B1,ENSMUSG00000029269,Sult1b1
ENSCAFG00845010050,DPYS,ENSMUSG00000022304,Dpys
ENSCAFG00845010051,ENSCAFG00845010051,ENSMUSG00000043633,Fam221b
ENSCAFG00845010053,GPR89A,ENSMUSG00000028096,Gpr89
ENSCAFG00845010054,CCDC28A,ENSMUSG00000059554,Ccdc28a
ENSCAFG00845010055,B3GAT2,ENSMUSG00000026156,B3gat2
ENSCAFG00845010056,U6,ENSMUSG00000077334,Gm23013
ENSCAFG00845010058,C12H6orf89,ENSMUSG00000052712,BC004004
ENSCAFG00845010060,NHP2,ENSMUSG00000001056,Nhp2
ENSCAFG00845010061,UNC45B,ENSMUSG00000018845,Unc45b
ENSCAFG00845010062,EML6,ENSMUSG00000044072,Eml6
ENSCAFG00845010063,MYO18A,ENSMUSG00000000631,Myo18a
ENSCAFG00845010065,NPY,ENSMUSG00000029819,Npy
ENSCAFG00845010066,HSF4,ENSMUSG00000033249,Hsf4
ENSCAFG00845010067,NTNG1,ENSMUSG00000059857,Ntng1
ENSCAFG00845010070,CCDC122,ENSMUSG00000034795,Ccdc122
ENSCAFG00845010071,ENSCAFG00845010071,ENSMUSG00000025854,Fam20c
ENSCAFG00845010072,NBEAL2,ENSMUSG00000032491,Nradd
ENSCAFG00845010073,CAPN5,ENSMUSG00000035547,Capn5
ENSCAFG00845010074,RBM46,ENSMUSG00000033882,Rbm46
ENSCAFG00845010075,ABLIM3,ENSMUSG00000032735,Ablim3
ENSCAFG00845010076,HTRA3,ENSMUSG00000029096,Htra3
ENSCAFG00845010077,GHDC,ENSMUSG00000017747,Ghdc
ENSCAFG00845010078,CACNB4,ENSMUSG00000017412,Cacnb4
ENSCAFG00845010079,NIPSNAP3B,ENSMUSG00000015242,Nipsnap3a
ENSCAFG00845010079,NIPSNAP3B,ENSMUSG00000015247,Nipsnap3b
ENSCAFG00845010080,MED24,ENSMUSG00000017210,Med24
ENSCAFG00845010081,MERTK,ENSMUSG00000014361,Mertk
ENSCAFG00845010082,DUSP13,ENSMUSG00000021768,Dusp13
ENSCAFG00845010085,DARS1,ENSMUSG00000026356,Dars
ENSCAFG00845010086,ENSCAFG00845010086,ENSMUSG00000022039,Adam2
ENSCAFG00845010088,RCC1,ENSMUSG00000028896,Rcc1
ENSCAFG00845010091,CLPB,ENSMUSG00000001829,Clpb
ENSCAFG00845010092,CORO1B,ENSMUSG00000024835,Coro1b
ENSCAFG00845010093,PMS2,ENSMUSG00000079109,Pms2
ENSCAFG00845010094,TNN,ENSMUSG00000026725,Tnn
ENSCAFG00845010095,ENSCAFG00845010095,ENSMUSG00000033845,Mrpl15
ENSCAFG00845010097,SLIT2,ENSMUSG00000031558,Slit2
ENSCAFG00845010099,TRAPPC8,ENSMUSG00000033382,Trappc8
ENSCAFG00845010101,TTC38,ENSMUSG00000035944,Ttc38
ENSCAFG00845010102,SULT1D1,ENSMUSG00000029273,Sult1d1
ENSCAFG00845010103,MFSD9,ENSMUSG00000041945,Mfsd9
ENSCAFG00845010104,C3,ENSMUSG00000024164,C3
ENSCAFG00845010105,ENOX1,ENSMUSG00000022012,Enox1
ENSCAFG00845010106,LRP1,ENSMUSG00000040249,Lrp1
ENSCAFG00845010107,ANXA13,ENSMUSG00000055114,Anxa13
ENSCAFG00845010112,HCRT,ENSMUSG00000045471,Hcrt
ENSCAFG00845010116,U2,ENSMUSG00000084552,Gm24840
ENSCAFG00845010117,ARL16,ENSMUSG00000057594,Arl16
ENSCAFG00845010118,PALS2,ENSMUSG00000038388,Pals2
ENSCAFG00845010119,CALCOCO2,ENSMUSG00000006056,Calcoco2
ENSCAFG00845010120,OLFML1,ENSMUSG00000062542,Syt9
ENSCAFG00845010121,RXYLT1,ENSMUSG00000034620,Rxylt1
ENSCAFG00845010122,STKLD1,ENSMUSG00000049897,Stkld1
ENSCAFG00845010124,ATG9B,ENSMUSG00000038295,Atg9b
ENSCAFG00845010127,RMND5B,ENSMUSG00000001054,Rmnd5b
ENSCAFG00845010128,U6,ENSMUSG00000065162,Gm23645
ENSCAFG00845010131,B3GNT6,ENSMUSG00000074004,B3gnt6
ENSCAFG00845010132,SLC9A2,ENSMUSG00000026062,Slc9a2
ENSCAFG00845010135,ENSCAFG00845010135,ENSMUSG00000045777,Ifitm10
ENSCAFG00845010136,ARHGAP12,ENSMUSG00000041225,Arhgap12
ENSCAFG00845010137,ENSCAFG00845010137,ENSMUSG00000060373,Hnrnpc
ENSCAFG00845010138,ENSCAFG00845010138,ENSMUSG00000029272,Sult1e1
ENSCAFG00845010141,BPGM,ENSMUSG00000038871,Bpgm
ENSCAFG00845010142,BABAM2,ENSMUSG00000052139,Babam2
ENSCAFG00845010143,SCRT1,ENSMUSG00000048385,Scrt1
ENSCAFG00845010144,SPATA7,ENSMUSG00000021007,Spata7
ENSCAFG00845010145,PDLIM4,ENSMUSG00000020388,Pdlim4
ENSCAFG00845010146,SGTB,ENSMUSG00000042743,Sgtb
ENSCAFG00845010147,NPY2R,ENSMUSG00000028004,Npy2r
ENSCAFG00845010148,POLH,ENSMUSG00000023953,Polh
ENSCAFG00845010149,GCM1,ENSMUSG00000023333,Gcm1
ENSCAFG00845010150,DDX25,ENSMUSG00000032101,Ddx25
ENSCAFG00845010151,RGS14,ENSMUSG00000052087,Rgs14
ENSCAFG00845010152,LRP12,ENSMUSG00000022305,Lrp12
ENSCAFG00845010153,OXLD1,ENSMUSG00000039670,Oxld1
ENSCAFG00845010154,PI16,ENSMUSG00000024011,Pi16
ENSCAFG00845010156,ENSCAFG00845010156,ENSMUSG00000038298,Pdzk1
ENSCAFG00845010157,KCNH4,ENSMUSG00000035355,Kcnh4
ENSCAFG00845010158,COL9A2,ENSMUSG00000028626,Col9a2
ENSCAFG00845010160,TMEM8B,ENSMUSG00000078716,Tmem8b
ENSCAFG00845010163,LMNA,ENSMUSG00000028063,Lmna
ENSCAFG00845010164,OGFRL1,ENSMUSG00000026158,Ogfrl1
ENSCAFG00845010165,ENSCAFG00845010165,ENSMUSG00000071392,Ect2l
ENSCAFG00845010168,SYT8,ENSMUSG00000031098,Syt8
ENSCAFG00845010169,TMEM249,ENSMUSG00000116376,Tmem249
ENSCAFG00845010170,CRHBP,ENSMUSG00000021680,Crhbp
ENSCAFG00845010171,SAMD8,ENSMUSG00000021770,Samd8
ENSCAFG00845010172,CXCR4,ENSMUSG00000045382,Cxcr4
ENSCAFG00845010173,OR2Z2,ENSMUSG00000043314,Olfr30
ENSCAFG00845010175,THUMPD3,ENSMUSG00000030264,Thumpd3
ENSCAFG00845010176,ELOVL5,ENSMUSG00000032349,Elovl5
ENSCAFG00845010178,ACOX3,ENSMUSG00000029098,Acox3
ENSCAFG00845010180,U6,ENSMUSG00002075651,U6
ENSCAFG00845010181,CCDC25,ENSMUSG00000022035,Ccdc25
ENSCAFG00845010182,ENSCAFG00845010182,ENSMUSG00000052642,Lypd9
ENSCAFG00845010184,NT5DC3,ENSMUSG00000112743,Gm49358
ENSCAFG00845010184,NT5DC3,ENSMUSG00000054027,Nt5dc3
ENSCAFG00845010185,ACER3,ENSMUSG00000030760,Acer3
ENSCAFG00845010186,PDE6G,ENSMUSG00000025386,Pde6g
ENSCAFG00845010188,INCENP,ENSMUSG00000024660,Incenp
ENSCAFG00845010190,TMEM87B,ENSMUSG00000014353,Tmem87b
ENSCAFG00845010193,CSN1S1,ENSMUSG00000070702,Csn1s1
ENSCAFG00845010196,CEP57L1,ENSMUSG00000019813,Cep57l1
ENSCAFG00845010197,MTCH1,ENSMUSG00000024012,Mtch1
ENSCAFG00845010198,U4,ENSMUSG00000084589,Gm25176
ENSCAFG00845010198,U4,ENSMUSG00000084425,Gm25104
ENSCAFG00845010201,CD300LG,ENSMUSG00000017309,Cd300lg
ENSCAFG00845010202,CELF5,ENSMUSG00000034818,Celf5
ENSCAFG00845010203,DNAJC15,ENSMUSG00000022013,Dnajc15
ENSCAFG00845010204,ENSCAFG00845010204,ENSMUSG00000039105,Atp6v1g1
ENSCAFG00845010206,PHOX2A,ENSMUSG00000007946,Phox2a
ENSCAFG00845010207,SNORA73,ENSMUSG00000065353,Snora73b
ENSCAFG00845010207,SNORA73,ENSMUSG00000064387,Snora73a
ENSCAFG00845010207,SNORA73,ENSMUSG00000064380,Gm26448
ENSCAFG00845010209,HS6ST3,ENSMUSG00000053465,Hs6st3
ENSCAFG00845010210,ENSCAFG00845010210,ENSMUSG00000013653,1810065E05Rik
